technique,context_length,model,cache_size,niah,rag_hotpotqa,rag_nq,cite_str_em,cite_citation_rec,cite_citation_prec,recall_jsonkv,rerank,summ_multilex,icl_clinic,icl_banking
INT8,32k,Qwen2.5-7B-Instruct,default,100.0,67.0,63.66666666666667,35.18333333333334,22.611061161061162,25.95682928182928,97.0,35.666178861788616,0.38252345052962106,90.8,84.8
baseline,32k,Llama-3.1-8B-Instruct,default,100.0,63.33333333333333,63.5,25.983333333333334,5.321428571428571,5.292277167277167,100.0,42.15405691056911,0.41873157938109784,92.60000000000001,86.0
INT4,32k,Llama-3.1-8B-Instruct,default,100.0,63.0,61.33333333333333,23.716666666666665,8.597641247641247,10.252596015096014,100.0,41.00208130081302,0.37507699076406903,91.4,85.39999999999999
INT8,32k,Llama-3.1-8B-Instruct,default,100.0,65.33333333333333,62.16666666666667,24.883333333333333,4.993722943722943,5.695346320346321,100.0,40.016162601626014,0.39837081330057367,92.4,86.2
baseline,32k,Yarn-Qwen3-8B-thinking,default,100.0,56.666666666666664,62.16666666666667,52.83333333333333,17.752563209064757,30.44850902021954,100.0,34.75375609756098,0.019095937317719282,96.2,87.4
INT4,32k,Yarn-Qwen3-8B-thinking,default,0.0,59.66666666666667,56.99999999999999,50.86666666666666,17.018607927160556,31.33232323232323,100.0,42.715585365853656,0.02926335711181365,94.39999999999999,87.0
INT8,32k,Yarn-Qwen3-8B-thinking,default,100.0,55.666666666666664,60.5,50.73333333333333,16.644284362867953,29.707917899094372,100.0,32.379341463414626,0.04873460395304928,95.19999999999999,87.6
baseline,32k,Qwen3-8B-nothinking,default,100.0,55.333333333333336,62.83333333333333,51.24999999999999,15.173816109071527,27.116928564211847,100.0,31.177056910569114,0.006060606060606061,95.0,86.6
INT4,32k,Qwen3-8B-nothinking,default,0.0,56.333333333333336,57.833333333333336,51.2,12.660638346861253,23.908808934032717,99.0,41.1439593495935,0.06055398052180422,94.8,85.6
INT8,32k,Qwen3-8B-nothinking,default,100.0,56.99999999999999,60.66666666666667,52.800000000000004,17.348743407285944,28.427649556326028,100.0,29.867560975609752,0.03592384831231777,95.6,86.6
baseline,32k,Yarn-Qwen3-8B-nothinking,default,100.0,56.666666666666664,62.16666666666667,52.83333333333333,17.752563209064757,30.44850902021954,100.0,34.75375609756098,0.024999017624085244,96.2,87.4
INT4,32k,Yarn-Qwen3-8B-nothinking,default,0.0,59.66666666666667,56.99999999999999,50.86666666666666,17.018607927160556,31.33232323232323,100.0,42.715585365853656,0.031077376879917882,94.39999999999999,87.0
INT8,32k,Yarn-Qwen3-8B-nothinking,default,100.0,55.666666666666664,60.5,50.73333333333333,16.644284362867953,29.707917899094372,100.0,32.379341463414626,0.05370138896287257,95.19999999999999,87.6
baseline,32k,DeepSeek-R1-Distill-Llama-8B,default,100.0,53.666666666666664,57.833333333333336,26.366666666666667,3.71989121559555,11.649686424686424,99.0,28.865617886178857,0.21504491659810868,91.4,86.6
INT4,32k,DeepSeek-R1-Distill-Llama-8B,default,100.0,57.333333333333336,62.83333333333333,20.983333333333334,2.2841720371132137,7.133333333333333,98.0,25.208495934959352,0.15436713632949614,90.4,86.4
INT8,32k,DeepSeek-R1-Distill-Llama-8B,default,100.0,54.333333333333336,60.333333333333336,27.266666666666666,3.4171070544522557,11.382683982683982,99.0,29.170333333333332,0.19782578648686303,92.4,87.4
baseline,32k,Qwen3-8B,default,100.0,55.333333333333336,62.83333333333333,51.24999999999999,15.173816109071527,27.116928564211847,100.0,31.177056910569114,0.0115625,95.0,86.6
INT4,32k,Qwen3-8B,default,0.0,56.333333333333336,57.833333333333336,51.2,12.660638346861253,23.908808934032717,99.0,41.1439593495935,0.07997422733907678,94.8,85.6
INT8,32k,Qwen3-8B,default,100.0,56.99999999999999,60.66666666666667,52.800000000000004,17.348743407285944,28.427649556326028,100.0,29.867560975609752,0.0390767853709255,95.6,86.6
baseline,32k,Yarn-Qwen3-8B,default,100.0,56.666666666666664,62.16666666666667,52.83333333333333,17.752563209064757,30.44850902021954,100.0,34.75375609756098,0.040949950208107044,96.2,87.4
INT4,32k,Yarn-Qwen3-8B,default,0.0,59.66666666666667,56.99999999999999,50.86666666666666,17.018607927160556,31.33232323232323,100.0,42.715585365853656,0.045619198216064444,94.39999999999999,87.0
