technique,context_length,model,cache_size,rerank,cite,rag_nq,rag_hotpotqa,niah,recall_jsonkv,summ_multilex,icl_clinic,icl_banking
streamingllm,32k,Qwen3-8B-thinking,n_local_4092_n_init_4,11.138014811174676,13.822697673275414,11.193899947332756,10.311124717881063,19.046247665569247,6.3759814494105065,16.333818586951285,2.219919769599551,1.9492222236200603
streamingllm,32k,Qwen3-8B-thinking,n_local_2044_n_init_4,12.564827542995015,15.169639197510437,12.058138282398641,11.40317732591643,19.292958808554268,7.430068143602698,17.805541190094278,2.580967407509384,2.3156761304157554
streamingllm,32k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,12.784145604072352,15.373764078929673,12.677332836326688,12.587977387515883,7.67951307087435,8.332819341204033,16.19082256950232,2.499009653750049,2.1922544561540462
streamingllm,32k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,13.250038156604138,15.437138202499144,11.477608406918465,11.17041565631297,,8.873746296403723,,,
streamingllm,32k,Qwen2.5-7B-Instruct,n_local_2044_n_init_4,12.407546567615942,10.695665060208984,6.648832015280746,12.594265064930367,9.157834864908576,9.260803295389646,17.53726545975825,2.8286949755770774,1.8256851307441457
streamingllm,32k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,12.255087518774317,10.838150454111698,12.272073686289227,12.237201458065433,7.015343332202681,10.124745664678587,16.203565500805308,2.8707045511259226,2.0658332345862904
streamingllm,32k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,12.542359085869933,10.306482004229617,12.483322909433603,11.48038853725227,,10.156882363277433,,,
streamingllm,32k,Llama-3.1-8B-Instruct,n_local_2044_n_init_4,13.67491779425074,11.271122354191064,13.081503821491438,12.473108374728188,8.48800139020737,5.238102640213257,17.0928326871806,3.255269001802819,2.459884441543514
streamingllm,32k,Yarn-Qwen3-8B-thinking,n_local_4092_n_init_4,11.183545880972193,13.28297191326326,11.09259082100281,10.358652406596503,7.599025177353197,6.373752528704759,16.313990882230538,2.242777469909872,1.9690490560192506
streamingllm,32k,Yarn-Qwen3-8B-thinking,n_local_2044_n_init_4,8.821475561182654,15.14109458131116,12.157818968989025,8.347208305300448,7.6170571177679784,7.389476790000562,17.604429656954718,2.570165362884782,2.2985455250838958
streamingllm,32k,Qwen3-8B-nothinking,n_local_4092_n_init_4,11.059818961303503,13.635795567725273,11.204528253101754,10.471878021713279,19.134431518653518,6.3432839380643316,16.42137851497,2.209938506012505,1.9356937872615774
streamingllm,32k,Qwen3-8B-nothinking,n_local_2044_n_init_4,12.409671047988287,15.30176345231263,11.843066279087427,11.478093849146724,19.558145707793287,3.106469540847322,17.59478601850279,2.5785231230455112,2.30797040150399
streamingllm,32k,Yarn-Qwen3-8B-nothinking,n_local_4092_n_init_4,11.182084570208307,13.42278185632786,11.090447638012284,10.341732898621121,7.62903866207925,6.36456942359898,16.13689204688543,2.2272927594799894,1.9545508136952465
streamingllm,32k,Yarn-Qwen3-8B-nothinking,n_local_2044_n_init_4,12.646930949823833,15.070896707125593,12.034297720075461,11.438036048763971,7.61407417808993,7.3961777071015185,11.735645075522612,2.5635294938219055,2.277219924490873
streamingllm,32k,DeepSeek-R1-Distill-Llama-8B,n_local_4092_n_init_4,11.877906927824736,15.220045886946114,11.781721925515459,10.091677136896058,8.564355240575525,9.478778685632015,17.59778412847411,2.8930383446909507,2.0734422185036667
streamingllm,32k,DeepSeek-R1-Distill-Llama-8B,n_local_2044_n_init_4,13.206915123721055,16.44476071858154,12.757205776751297,11.564591884453058,8.532114802712673,10.562563738714333,19.430135895394578,3.2527224876993044,2.4566591322278426
