technique,context_length,model,cache_size,travel_planning,html_to_tsv,pseudo_to_code
snapkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k7_maxpool,24.30143114850896,26.042330910423424,27.773985548453094
snapkv,2k,Llama-3.1-8B-Instruct,w32_c1024_k7_maxpool,25.362290456787083,28.19512261156979,27.565212533157105
snapkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,22.643943026862893,25.776232214892623,27.012767020778657
snapkv,2k,Llama-3.1-8B-Instruct,w256_c2048_k7_maxpool,23.10064880848644,26.466655979017553,27.671240631534523
snapkv,2k,Llama-3.1-8B-Instruct,w2048_c8192_k7_maxpool,18.391498502456063,17.182313915967075,26.629817159578547
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c512_k7_maxpool,21.2864423998538,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c512_k7_maxpool,25.5516985736141,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c1024_k7_maxpool,25.077924718446884,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c512_k7_maxpool,25.400656008485075,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c1024_k7_maxpool,24.251680535734227,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c2048_k7_maxpool,23.345064165973195,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c2048_k7_maxpool,24.082344850129257,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c2048_k7_maxpool,24.1765866628734,27.229126571411044,25.364423267217735
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c1024_k7_maxpool,21.932094433975713,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w2048_c8192_k7_maxpool,16.804682410506782,16.1358500425281,24.75496206809468
snapkv,2k,Yarn-Qwen3-8B,w256_c2048_k7_maxpool,17.456105026581007,,
